original_language,overview,title,budget,revenue,runtime,release_date,popularity,vote_average,vote_count,genres
en,"He's Ace Ventura: Pet Detective. Jim Carrey is on the case to find the Miami Dolphins' missing mascot and quarterback Dan Marino. He goes eyeball to eyeball with a man-eating shark, stakes out the Miami Dolphins and woos and wows the ladies. Whether he's undercover, under fire or underwater, he always gets his man… or beast!",Ace Ventura: Pet Detective,15000000,107217396,86,1994-02-04,5.5149,6.569,6101,"['Comedy', 'Mystery', 'Crime']"
en,"When 13-year-old Tracy befriends Evie, the most popular girl in school, her life is turned upside down as Evie introduces her to a world of sex, drugs, and money. But it isn’t long before Tracy’s new lifestyle begins to take a heavy toll on her and her family.",Thirteen,2000000,10128960,100,2003-08-20,6.1858,6.665,1690,['Drama']
en,"In this loose adaptation of Shakespeare's ""Henry IV,"" Mike Waters is a hustler afflicted with narcolepsy. Scott Favor is the rebellious son of a mayor. Together, the two travel from Portland, Oregon to Idaho and finally to the coast of Italy in a quest to find Mike's estranged mother. Along the way they turn tricks for money and drugs, eventually attracting the attention of a wealthy benefactor and sexual deviant.",My Own Private Idaho,2500000,6400000,104,1991-02-01,5.6185,7.1,1180,['Drama']
en,Russian and British submarines with nuclear missiles on board both vanish from sight without a trace. England and Russia both blame each other as James Bond tries to solve the riddle of the disappearing ships. But the KGB also has an agent on the case.,The Spy Who Loved Me,13500000,185438673,125,1977-07-07,5.7322,6.825,2107,"['Adventure', 'Action', 'Thriller']"
en,"Tina Shepard, a telekinetic teenage girl, accidentally unchains Jason from his watery grave, allowing him to go on another killing spree in the area.",Friday the 13th Part VII: The New Blood,2800000,19170001,88,1988-05-13,4.9927,5.476,1148,"['Horror', 'Thriller']"
en,"Workaholic Jim Evers and his wife/business partner Sara get a call one night from  a mansion owner, Edward Gracey, who wants to sell his house. Once the Evers family arrive at the mansion, a torrential thunderstorm of mysterious origin strands them with the brooding, eccentric Gracey, his mysterious butler, and a variety of residents both seen and unseen.",The Haunted Mansion,90000000,182290266,99,2003-11-26,5.6143,5.688,2085,"['Thriller', 'Fantasy', 'Comedy', 'Family', 'Mystery']"
en,"Mad Max becomes a pawn in a decadent oasis of a technological society, and when exiled, becomes the deliverer of a colony of children.",Mad Max Beyond Thunderdome,10000000,36230219,107,1985-06-29,5.903,6.214,3109,"['Action', 'Adventure', 'Science Fiction']"
en,A Russian teenager living in London dies during childbirth but leaves clues in her diary that could tie her child to a rape involving a violent Russian mob family.,Eastern Promises,51500000,56106607,101,2007-09-14,5.6584,7.353,3534,"['Thriller', 'Crime', 'Mystery']"
en,"In the year 10,191, the most precious substance in the universe is the spice Melange. The spice extends life. The spice expands consciousness. The spice is vital to space travel.  The spice exists on only one planet in the entire universe, the vast desert planet Arrakis, also known as Dune.  Its native inhabitants, the Fremen, have long held a prophecy that a man would come, a messiah who would lead them to true freedom.",Dune,40000000,31502434,137,1984-12-14,6.3682,6.17,3264,"['Action', 'Science Fiction', 'Adventure']"
en,"An Australian couple takes a sailing trip in the Pacific to get over the recent loss of their son. While on the open sea, they come across a sinking ship with one survivor who is not at all what he seems.",Dead Calm,10400000,7825000,96,1989-04-07,5.1501,6.567,789,"['Thriller', 'Horror']"
